# Rule ID 	Type 	Signature 	Tag 	Score 	Match zone
# Downloaded from https://rlinfo.nemesida-security.com/ on 29/11/2021
1	RL	nwaftest	Other	12	BODY|URL|ARGS|HEADERS
31	RLx	(\d+\s*,\s*){4,}	SQLi	4	BODY|URL|ARGS|HEADERS
32	RLx	\W&&\W	SQLi	2	BODY|URL|ARGS|HEADERS
33	RLx	\W@@\w	SQLi	2	BODY|URL|ARGS|HEADERS
34	RLx	\W\|\|\W	SQLi	2	BODY|URL|ARGS
35	RLx	\{\{(.+?)\}\}	RCE	8	ARGS
36	RL	$(	RCE	2	BODY|URL|ARGS|HEADERS
37	RL	${	RCE	2	BODY|URL|ARGS|HEADERS
39	RL	/*	SQLi	1	BODY|URL|ARGS|Cookie|User-agent
40	RL	*/	SQLi	1	BODY|URL|ARGS|Cookie|User-agent
51	RL	;	SQLi	2	URL|ARGS
52	RL	'	SQLi	2	URL|ARGS|User-Agent
53	RL	?	Evasion	2	URL|ARGS|User-agent
54	RL	['#	RCE	8	URL
55	RL	\'%	SQLi	2	BODY|URL|ARGS
56	RL	%\'	SQLi	2	BODY|URL|ARGS
57	RLx	(\.)+(\\|\/)+(\.)+(\\|\/)+	LFI	8	BODY|URL|ARGS|HEADERS
58	RL	=\"	SQLi	2	BODY|URL|ARGS
59	RL	=\'	SQLi	2	BODY|URL|ARGS
60	RL	*\'	SQLi	4	BODY|URL|ARGS
61	RL	!=	SQLi	6	URL|ARGS
66	RL	\\	Evasion	2	BODY|URL|ARGS
67	RL	../	Injection	8	BODY|URL|ARGS|HEADERS
68	RL	--	SQLi	2	BODY|URL|ARGS|User-agent
69	RL	#	SQLi	2	BODY|URL|ARGS|Cookie|User-agent
71	RL	..\..\	LFI	8	BODY|URL|ARGS|HEADERS
72	RL	\N	SQLi	1	BODY|URL|ARGS|HEADERS
73	RL	%EF	Evasion	0	MLA
74	RLx	\\x[0-9a-z]{2,2}	Evasion	0	MLA
75	RLx	%[01][0-9a-f]	Evasion	0	MLA
76	RLx	(\\|%)u[0-9a-z]{4,}	Evasion	0	MLA
77	RL	././	LFI	8	BODY|URL|ARGS|HEADERS
78	RLx	%(c0|7f)	Evasion	0	MLA
98	RLx	[&=<]\.0	XSS	6	BODY|URL|ARGS
99	RLx	[\^<>]0\.	XSS	6	BODY|URL|ARGS
100	WLx	sitemap[\w\-\.]+\.gz$	WL	0	URL
101	WLx	=\[?(\d+\s*,\s*){4,}	WL	0	Cookie|Referer
104	WLx	utm_referrer=https?://\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}	WL	0	ARGS
105	WLx	\-+\w	WL	0	Content-Type
106	WL	xn--p1ai	WL	0	BODY|URL|ARGS|HEADERS
107	WL	file://	WL	0	Origin
109	WL	?from=	WL	0	ARGS
110	WL	<?xml	WL	0	BODY
111	WLx	\{\{[\w.]+}\}	WL	0	ARGS
500	RL	/.source	XSS	12	BODY|URL|ARGS
502	RLx	(\s|\.)src(\s|\+)*=	XSS	4	BODY|URL|ARGS|HEADERS
504	RLx	\Weval\(|@eval\W	XSS	12	BODY|URL|ARGS|HEADERS
505	RLx	<svg(\s|\+)	XSS	4	BODY|URL|ARGS|HEADERS
508	RLx	\Walert(\.(call|apply|bind|valueof))?[\(\`\&]	XSS	12	BODY|URL|ARGS|HEADERS
509	RL	symbol.replace	XSS	8	BODY|URL|ARGS|HEADERS
510	RLx	array\.(map|from)	XSS	8	BODY|URL|ARGS|HEADERS
511	RLx	\Wdocument(\.[a-z]+)+\W*\(	XSS	12	BODY|URL|ARGS|HEADERS
512	RL	</noscript	XSS	4	BODY|URL|ARGS|HEADERS
513	RL	</xmp	XSS	4	BODY|URL|ARGS|HEADERS
514	RL	</style	XSS	4	BODY|URL|ARGS|HEADERS
515	RL	</script	XSS	12	BODY|URL|ARGS|HEADERS
516	RLx	<img(\s|\+)	XSS	4	BODY|URL|ARGS|HEADERS
517	RLx	<base(\s|\+)	XSS	4	BODY|URL|ARGS|HEADERS
518	RLx	<i?frame(\s|\+)	XSS	6	BODY|URL|ARGS|HEADERS
528	RLx	\Won(error|load|loadstart|cut|focus|click|begin|wheel|blur|change|input|reset|select|down|keypress|keyup|paste|copy|toggle|xonpointerenter)(\s|\+)*\=	XSS	12	BODY|URL|ARGS|HEADERS
532	RLx	onmouse(down|enter|leave|move|out|over|up|wheel)(\s|\+)*\=	XSS	12	BODY|URL|ARGS|HEADERS
534	RL	</title	XSS	2	BODY|URL|ARGS|HEADERS
535	RL	svg>	XSS	4	BODY|URL|ARGS|HEADERS
536	RL	<<	XSS	4	URL|ARGS
537	RLx	<script(\s|\+|\/|\>)	XSS	12	BODY|URL|ARGS|HEADERS
538	RL	>>	XSS	4	URL|ARGS
540	RLx	\Won(aux|dbl)click(\s|\+)*\=	XSS	12	BODY|URL|ARGS|HEADERS
542	RLx	\Wontouchcancel(\s|\+)*\=	XSS	12	BODY|URL|ARGS|HEADERS
543	RLx	\Wset(Timeout|Interval|Immediate)\W*\(	XSS	12	BODY|URL|ARGS|HEADERS
544	RLx	\WexecScript\W*\(	XSS	12	BODY|URL|ARGS|HEADERS
545	RL	crypto.generateCRMFRequest	XSS	12	BODY|URL|ARGS|HEADERS
548	RL	Range.createContextualFragment	XSS	12	BODY|URL|ARGS|HEADERS
549	RLx	window[?]?\.(location|alert|name)	XSS	12	BODY|URL|ARGS|HEADERS
550	RLx	document\.(location|domain|cookie)	XSS	12	BODY|URL|ARGS|HEADERS
551	RLx	\Wlocation(\.[a-z]+)+\W*\(	XSS	12	BODY|URL|ARGS|HEADERS
552	RLx	\Whistory(\.[a-z]+)+\W*\(	XSS	12	BODY|URL|ARGS|HEADERS
553	RLx	\W(local|session)Storage\W*\(	XSS	12	BODY|URL|ARGS|HEADERS
554	RL	<svg/ontoggle	XSS	12	BODY|URL|ARGS|HEADERS
555	RLx	\WcreateElement\W*\(	XSS	12	BODY|URL|ARGS|HEADERS
1000	RLx	[^-:=\.\w\|]where[^-:=\.\w\|]	SQLi	3	BODY|URL|ARGS|HEADERS
1001	RLx	[^-:=\.\w\|]update[^-:=\.\w\|]	SQLi	3	BODY|URL|ARGS|HEADERS
1002	RLx	[^-:=\.\w\|]table[^-:=\.\w\|]	SQLi	3	BODY|URL|ARGS|HEADERS
1003	RLx	group[^-:=\.\w\|/]+by	SQLi	2	BODY|URL|ARGS|HEADERS
1005	RLx	order[^-:=\.\w\|]+by	SQLi	3	BODY|URL|ARGS|HEADERS
1006	RLx	[^-:=\.\w\|]limit[^-:=\.\w\|]	SQLi	3	BODY|URL|ARGS|HEADERS
1007	RLx	[^-:=\.\w\|]select[^-:=\.\w\|]	SQLi	4	BODY|URL|ARGS|HEADERS
1008	RLx	[^-:=\.\w\|]insert[^-:=\.\w\|]	SQLi	3	BODY|URL|ARGS|HEADERS
1010	RLx	[^-:=\.\w\|]truncate[^-:=\.\w\|]	SQLi	3	BODY|URL|ARGS|HEADERS
1011	RLx	\Wbenchmark\W	SQLi	4	BODY|URL|ARGS|HEADERS
1012	RLx	\W((var)?char|chr)\W*[(@]+[\d\s]	SQLi	12	BODY|URL|ARGS|HEADERS
1016	RLx	[^-:=\.\w\|]if[^-:=\.\w\|]	SQLi	2	BODY|URL|ARGS|HEADERS
1021	RLx	select[^-:=\.\w\|]{1,250}(.|\s){0,250}from	SQLi	8	BODY|URL|ARGS|HEADERS
1023	RL	extractvalue	SQLi	4	BODY|URL|ARGS|HEADERS
1024	RLx	\Wconcat\W*\(	SQLi	12	BODY|URL|ARGS|HEADERS
1025	RL	updatexml	SQLi	4	BODY|URL|ARGS|HEADERS
1026	RLx	\Wsystem\W*\(	RCE	12	BODY|URL|ARGS|HEADERS
1027	RLx	\Wextractvalue\W*\(	SQLi	6	BODY|URL|ARGS|HEADERS
1028	RLx	\Welt\W*\(	SQLi	6	BODY|URL|ARGS|HEADERS
1031	RLx	(encode|decode)\W*[\(\)]	SQLi	12	BODY|URL|ARGS|HEADERS
1032	RL	group_concat	SQLi	4	BODY|URL|ARGS|HEADERS
1033	RLx	\Wrlike\W*\(	SQLi	6	BODY|URL|ARGS|HEADERS
1034	RLx	[^-:=\.\w\|]database[^-:=\.\w\|]	SQLi	4	BODY|URL|ARGS|HEADERS
1035	RL	system_user	SQLi	6	BODY|URL|ARGS|HEADERS
1036	RL	version()	SQLi	8	BODY|URL|ARGS|HEADERS
1037	RLx	\Wnot\W+in\W*\(	SQLi	6	BODY|URL|ARGS|HEADERS
1038	RLx	json(_\w+){1,2}\W*\(	SQLi	6	BODY|URL|ARGS|Cookie
1039	RLx	[^-:=\.\w\|]contains[^-:=\.\w\|]	SQLi	4	BODY|URL|ARGS|HEADERS
1040	RLx	[^-:=\.\w\|]sleep[^-:=\.\w\|]	SQLi	6	BODY|URL|ARGS|HEADERS
